Artikelnummer,Bezeichnung,Preis,Hersteller
200001,Smartphone X1,699.99,TechCorp
200002,Tablet Pro 10,499.99,TechCorp
200003,Laptop UltraBook,1199.99,TechCorp
200004,Smartwatch Active,199.99,TechCorp
200005,Wireless Earbuds,149.99,TechCorp
300001,4K OLED TV,1299.99,VisionElectro
300002,Bluetooth Soundbar,199.99,VisionElectro
300003,Heimkino Projektor,899.99,VisionElectro
300004,SmartHome Kamera,149.99,VisionElectro
300005,Digitaler Bilderrahmen,79.99,VisionElectro
400001,Spiegelreflexkamera,999.99,PhotoMaster
400002,Action Kamera Pro,299.99,PhotoMaster
400003,Drohne 4K,499.99,PhotoMaster
400004,Objektiv 50mm f/1.8,199.99,PhotoMaster
400005,Stativ Carbon,129.99,PhotoMaster
500001,Gaming Maus,59.99,GameGear
500002,Mechanische Tastatur,129.99,GameGear
500003,Curved Gaming Monitor,399.99,GameGear
500004,VR Headset,299.99,GameGear
500005,RGB PC Gehäuse,149.99,GameGear